run,segment,file,value,error,weight
66522,-1,data/run66522.root,1.93769,0.00118166,1.34774e+08
66684,-1,data/run66684.root,1.90012,0.000217926,4.05401e+09
66685,-1,data/run66685.root,1.92397,0.00053832,6.07126e+08
68520,-1,data/run68520.root,nan,0,1.46195e+10
68522,-1,data/run68522.root,nan,0,1.83442e+10
68523,-1,data/run68523.root,nan,0,7.05937e+09
68531,-1,data/run68531.root,nan,0,1.75965e+10
68548,-1,data/run68548.root,nan,0,1.47173e+09
68550,-1,data/run68550.root,nan,0,5.8117e+09
68554,-1,data/run68554.root,nan,0,1.87613e+10
68584,-1,data/run68584.root,nan,0,1.74397e+10
68589,-1,data/run68589.root,nan,0,1.60822e+10
68604,-1,data/run68604.root,nan,0,1.17067e+10
